,annotated_file,F_score,Precision,Recall
53,2807_to_have_and_to_hold_brat.tsv,0.4785,0.4382,0.527
54,110_tess_of_the_durbervilles_a_pure_woman_brat.tsv,0.5487,0.4844,0.6327
55,1064_the_masque_of_the_red_death_brat.tsv,0.3459,0.3485,0.3433
56,4051_lady_bridget_in_the_nevernever_land_a_story_of_australian_life_brat.tsv,0.5946,0.5323,0.6735
57,27_far_from_the_madding_crowd_brat.tsv,0.4231,0.3708,0.4925
58,829_gullivers_travels_into_several_remote_nations_of_the_world_brat.tsv,0.4901,0.4276,0.5741
59,41_the_legend_of_sleepy_hollow_brat.tsv,0.4,0.2917,0.6364
60,6053_evelina_or_the_history_of_a_young_ladys_entrance_into_the_world_brat.tsv,0.2933,0.2178,0.449
61,77_the_house_of_the_seven_gables_brat.tsv,0.3556,0.2759,0.5
62,95_the_prisoner_of_zenda_brat.tsv,0.4444,0.3371,0.6522
63,766_david_copperfield_brat.tsv,0.4815,0.4021,0.6
64,2814_dubliners_brat.tsv,0.66,0.5593,0.8049
65,73_the_red_badge_of_courage_an_episode_of_the_american_civil_war_brat.tsv,0.5375,0.5119,0.5658
66,876_life_in_the_ironmills_or_the_korl_woman_brat.tsv,0.5393,0.5,0.5854
67,74_the_adventures_of_tom_sawyer_brat.tsv,0.5676,0.4773,0.7
68,2489_moby_dick_brat.tsv,0.5455,0.6,0.5
69,16357_mary_a_fiction_brat.tsv,0.5714,0.5556,0.5882
70,219_heart_of_darkness_brat.tsv,0.3548,0.3056,0.4231
71,113_the_secret_garden_brat.tsv,0.5061,0.4276,0.62
72,521_the_life_and_adventures_of_robinson_crusoe_brat.tsv,0.3152,0.2248,0.5273
73,2005_piccadilly_jim_brat.tsv,0.4714,0.3929,0.5893
74,8867_the_magnificent_ambersons_brat.tsv,,,
75,543_main_street_brat.tsv,0.6355,0.5667,0.7234
76,711_allan_quatermain_brat.tsv,0.4882,0.3974,0.6327
77,550_silas_marner_brat.tsv,0.4912,0.3784,0.7
78,599_vanity_fair_brat.tsv,0.5067,0.4318,0.6129
79,217_sons_and_lovers_brat.tsv,0.622,0.5484,0.7183
80,1155_the_secret_adversary_brat.tsv,0.7066,0.6484,0.7763
81,208_daisy_miller_a_study_brat.tsv,0.6577,0.5568,0.8033
82,1260_jane_eyre_an_autobiography_brat.tsv,0.4654,0.37,0.6271
83,932_the_fall_of_the_house_of_usher_brat.tsv,0.4478,0.3659,0.5769
84,12677_personality_plus_some_experiences_of_emma_mcchesney_and_her_son_jock_brat.tsv,0.5167,0.4429,0.62
85,9830_the_beautiful_and_damned_brat.tsv,0.4688,0.3947,0.5769
86,62_a_princess_of_mars_brat.tsv,0.4746,0.4038,0.5753
87,1327_elizabeth_and_her_german_garden_brat.tsv,0.3,0.2273,0.4412
88,1400_great_expectations_brat.tsv,0.7292,0.6918,0.771
89,1661_the_adventures_of_sherlock_holmes_brat.tsv,0.5439,0.4559,0.6739
90,155_the_moonstone_brat.tsv,0.3982,0.3543,0.4545
91,2166_king_solomons_mines_brat.tsv,0.4545,0.3409,0.6818
92,1206_the_flying_u_ranch_brat.tsv,0.5342,0.4875,0.5909
93,15265_the_quest_of_the_silver_fleece_a_novel_brat.tsv,0.5455,0.5172,0.5769
94,120_treasure_island_brat.tsv,0.5736,0.5068,0.6607
95,4276_north_and_south_brat.tsv,0.4142,0.35,0.5072
96,174_the_picture_of_dorian_gray_brat.tsv,0.4771,0.3714,0.6667
97,105_persuasion_brat.tsv,0.4082,0.3125,0.5882
98,1245_night_and_day_brat.tsv,0.4585,0.3481,0.6714
99,158_emma_brat.tsv,0.3784,0.3182,0.4667
